"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
0.114,0.111,8.3063,0.572,0.352,1.5601,0
-0.5822,-0.1942,6.2545,0,1.5879,0.3367,0
0.1894,0.2371,6.0624,0,0.6869,0.429,0
0.1608,0.1622,8.0235,5.762,0.3465,1.7074,0
0.1149,0.22,7.1242,8.228,0.986,0.8901,0
0.0779,0.1114,6.6369,4.534,1.2438,1.3427,0
-0.1289,0.0088,6.6067,0,1.1366,1.3196,0
-0.1673,-0.1543,6.0879,0,0.9434,0.2393,0
0.2224,0.1759,6.2367,8.818,1.7552,0.2396,0
-0.3481,0.1672,5.8801,9.808,4.8095,0.0738,0
-0.3257,-0.0332,6.7062,0,0.341,2.2576,0
0.3188,0.5792,4.6135,0,3.91,1.14,0
0.0755,0.1053,6.5255,1.144,0.5657,0.2733,0
0.3397,-0.203,4.1491,0,3.683,0.1149,0
0.0389,-0.0136,5.5188,0,0.9041,0.9974,0
0.1282,0.2114,7.9799,3.84,0.7092,1.4351,0
0.056,0.0861,4.1306,0,0.7857,7.0083,0
-0.9575,-0.3205,4.6508,0,4.7619,0.7182,0
0.108,0.1021,8.5418,3.042,2.9422,0.58,0
0.0579,0.2635,6.6111,1.724,1.3782,0.6332,0
-1.0669,0.1641,5.566,0,1.5209,0.725,0
0.0117,0.2276,6.4652,1.946,1.7368,0.4347,0
-0.7029,0.1773,8.2872,0,2.315,2.1373,0
-0.6452,0.7463,6.3454,0,2.8571,-1.5166,0
-0.7415,-0.4543,4.7347,0,3.1452,0.7278,0
5,0.0348,7.6495,0,0.1692,-2.5758,0
0.0839,0.1743,7.5378,7.182,1.6342,1.4516,0
0.0465,0.092,7.8707,0,2.4921,0.5185,0
0.0639,0.1069,6.135,1.346,1.2612,0.8996,0
-1.349,0.195,5.0861,0,2.6465,-1.2208,0
-0.3403,0.1908,6.2497,0,0.121,-1.2008,0
-0.1451,-0.3064,5.7956,0,0.0808,2.0022,0
0.1767,0.1468,7.3311,2.738,1.9768,0.2048,0
0.1736,0.1759,6.1239,0,1.4938,2.053,0
0.1506,0.207,7.6021,5.07,1.3515,0.1685,0
0.0363,0.0034,8.1717,0,0.5247,0.1149,0
0.069,0.2464,6.2607,0,1.0289,0.8645,0
-1.215,-0.1179,6.5544,1.372,3.2098,0.6087,0
-0.7863,-0.1464,6.0312,0,1.2084,0.7464,0
0.0797,0.0348,5.75,3.194,0.8763,0.3857,0
0.0383,0.2899,6.1531,3.53,2.3109,-1.2608,0
0.0769,-0.0657,7.3498,3.442,3.0882,0.0878,0
-0.4351,0.1441,4.5678,0,1.7994,0.3339,0
-0.1474,-0.4137,4.5867,0,0.4465,0.0183,0
0.0925,0.0732,7.5107,3.262,4.2058,0.4259,0
-0.8998,-0.3351,4.7126,0,2.0493,0.0923,0
0.0861,0.1298,7.7228,7.932,0.7397,0.1598,0
0.0802,-0.043,4.685,0,0.4986,0.3038,0
-0.7857,3.2703,4.8252,0,0.1627,-1.1845,0
0.2578,0.2455,6.2744,11.638,1.085,0.9631,0
-0.1929,-0.2545,4.8363,3.57,1.7544,0.0154,0
0.1229,0.4122,5.1549,9.928,2.1554,0.7141,0
-2.796,-1.8521,6.2016,0,2.1743,2.0365,0
0.1179,0.1323,7.746,4.316,1.2532,0.2488,0
-0.1071,-0.0033,6.222,0,1.0989,0.5767,0
0.0265,0.0399,8.1699,1.654,3.3609,0.5228,0
0.0544,0.0707,9.4439,2.718,0.4144,1.9041,0
0.0605,0.0999,7.8344,1.376,2.5058,0.927,0
-1.7048,0.0226,5.4525,0,5.5624,1.2405,0
-0.1964,0.2933,5.6851,0,0.6897,0.1307,0
-0.0155,-0.0114,7.1291,0,0.0524,-1.6841,0
0.0728,0.0295,7.9951,3.528,1.3739,4.9298,0
0.0483,0.2391,5.0251,0,3.6772,1.0544,0
0.0725,0.0825,8.3458,2.494,3.2918,0.9636,0
0.087,0.0903,7.2288,2.908,1.6397,0.9649,0
0.1767,0.2417,5.4586,6.796,2.959,1.8395,0
0.066,0.1509,6.2663,1.306,1.1905,0.3747,0
0.1062,1.9536,8.8618,4.406,0.9443,-1.4495,0
-0.2317,0.0223,5.2936,1.506,0.803,1.6875,0
-8.6161,-1.3333,3.4748,0,-4,0.7164,0
0.1312,0.1606,7.5773,8.344,0.8026,0.2786,0
-0.4372,0.2206,8.0508,0,0.7612,0.0102,0
-2.6698,-0.625,5.1384,0,0.6857,4.1572,0
0.0145,0.0618,9.1846,0,0.1481,2.198,0
0.1662,-0.1227,5.5303,0,0.5132,1.2567,0
-0.5882,-0.3176,5.8471,0,0.3666,0.2424,0
0.0526,0.1007,8.2795,2.428,1.337,6.9963,0
0.0693,0.1754,7.0369,6.372,0.9875,0.585,0
0.1593,0.1715,6.9839,7.962,0.7486,0.3825,0
-0.0767,-0.4395,4.5053,0,3.0527,0.0195,0
0.133,0.2588,7.7147,4.706,1.6288,7.5483,0
0.1946,0.0425,8.1866,0,0.1611,-2.8022,0
-3.0886,-1.2155,5.5024,0,6.0294,0.4713,0
0.1961,-0.5882,4.8031,0,1.7544,0.824,0
0.1449,0.2193,8.1401,6.7,0.9524,0.7789,0
-1.2489,-4e-04,4.5379,0,-1e-04,3.1967,0
0.0874,0.1304,7.6655,4.858,1.3395,0.0755,0
0.0817,2.1909,7.0492,0.948,1.6739,-1.3818,0
0.014,0.0441,4.9831,0,0.8695,-2.2436,0
-0.4195,0.3627,6.2545,0,4.5611,-1.2558,0
0.0889,0.0885,5.8982,5.146,0.8686,0.6537,0
-0.2468,0.3254,4.7659,0,4.3582,0.5709,0
0.0276,-0.2101,5.4458,0,1.4232,0.2615,0
0.163,0.2649,6.4168,6.376,0.6449,2.2841,0
0.1378,0.3634,3.5776,0,2.7954,0.748,0
0.2635,0.3534,6.3072,12.208,2.4774,0.4871,0
0.1177,0.2146,6.7575,6.52,2.7778,0.7537,0
0.1424,-1.3158,4.0232,0,3.5714,0.784,0
0.0813,-0.0542,4.9135,0,3.6343,1.0884,0
0.5211,0.4981,5.2656,0,3.4038,0.4298,0
0.0125,0.2369,5.0132,0,2.0412,0.6339,0
0.0803,-0.1487,6.1895,0,0.3096,1.0361,0
0.1578,0.5783,5.2996,16.484,1.7427,0.7806,0
0.1639,0.1799,5.2317,9.52,3.125,0.3606,0
0.5743,-0.11,4.5056,0,0.0454,-1.0235,0
0.0462,0.05,9.0974,5.176,2.3276,0.5996,0
-0.1561,-0.0799,5.9123,0,0.4869,6.3905,0
0.1695,0.1175,5.756,6.154,1.1655,1.5829,0
-2.616,-0.0825,5.6345,0,0.0536,-1.1766,0
0.1792,0.2239,6.3244,6.796,0.8518,0.3846,0
0.0912,-0.1017,4.6059,0,4.5455,0.4609,0
0.1548,0.2131,7.8236,1.986,0.7884,0.674,0
0.1389,0.1272,6.9364,6.12,0.5612,1.0016,0
0.0503,0.0709,6.4522,2.098,0.3925,0.745,0
0.1155,0.0468,6.1324,1.194,0.3903,0.4442,0
0.0314,0.0459,6.7217,0,0.6478,0.2615,0
0.1247,0.6204,7.4429,6.232,1.8451,0.2476,0
0.1037,0.1707,9.4928,5.024,0.3618,1.8941,0
0.2675,0.4716,4.6028,0,2.018,0.4921,0
-0.1646,0.0249,4.7988,0,1.544,0.3195,0
-0.0286,-0.3019,5.4585,0,7.0476,0.3165,0
0.0585,0.3374,5.8595,1.686,2.2424,0.5126,0
-0.4419,-0.1753,6.2738,0,9.0909,0.4281,0
-2.0751,-3.3148,6.3596,0,1.3316,1.0277,0
-2.9397,-5.5108,5.3739,0,8.6364,0.1327,0
-0.1883,-0.279,6.1381,0,1.7066,0.8431,0
0.0275,-0.2639,5.1899,0,2.0408,0.2362,0
-0.1556,-0.2825,6.5099,1.01,2,0.3907,0
0.0716,-0.1095,5.8283,7.116,1.9856,1.0783,0
0.0214,0.0526,8.2808,0.72,0.9709,0.7918,0
0.1629,0.207,6.4367,11.574,0.996,0.4052,0
-0.4512,-0.1814,5.8072,0,0.1279,3.2622,0
-0.998,-0.5929,6.0758,0,5.9641,0.1872,0
-0.7783,-0.391,7.0852,0,3.4975,0.1767,0
0.127,0.1585,8.1177,6.494,1.7288,5.8069,0
0.1969,0.0782,7.4256,7.002,3.6508,0.1863,0
0.2632,0.2942,5.6047,12.932,1.8798,0.284,0
-1.9763,0.1866,5.7464,8.066,2.7035,0.2822,0
0.1179,0.3975,5.222,1.12,1.6182,0.7904,0
0.1742,0.2673,6.3676,9.968,1.205,0.5173,0
0.0454,-0.082,5.6537,0,1.7877,-1.4477,0
0.0322,0.1629,7.0226,2.914,2.5703,0.3965,0
-0.3725,-0.0923,5.5281,0,0.5113,0.4719,0
0.5417,0.79,4.3477,0,3.3333,3.3635,0
-0.0592,-0.0973,4.7301,0,9.6364,0.2348,0
-0.2172,-0.5354,4.4012,0,-0.0639,0.1626,0
0.1397,0.1759,6.0565,3.722,0.4794,0.3931,0
-0.4706,0.2447,4.8397,0,3.153,0.3343,0
-0.3602,0.3417,4.1646,0,1.312,0.9245,0
-0.3693,-0.0232,5.4232,0,0.159,0.677,0
-0.568,0.1701,4.6634,8,0.1122,0.2398,0
-0.4848,-0.3184,4.9475,0,0.926,0.6262,0
0.3226,0.3073,4.8979,0,0.11,1.5812,0
-0.9095,-1.4671,4.1714,0,0.1834,0.1506,0
-0.7883,-0.9279,5.0052,0,0.0282,0.4912,0
0.3854,-0.1664,4.5455,0,0.429,1.5107,0
0.0599,0.0599,6.3801,5.51,1.608,0.0338,0
-0.0336,-0.0647,5.2713,0,0.1922,0.0365,0
0.2977,0.89,4.2513,0,0.69,1.0555,0
0.1598,0.1582,6.0185,3.626,0.1088,0.8578,0
-0.5934,-0.2646,5.0023,0,0.192,0.6595,0
-0.2969,-0.1675,3.3604,0,0.79,0.9525,0
0.049,0.0506,6.4104,3.23,1.05,0.3353,0
0.2273,0.0575,5.3471,0,0.706,2.7247,0
0.2337,0.3245,5.1912,6.658,5.67,0.4627,0
0.0582,0.0954,8.0934,5.64,0.978,0.3081,0
0.1166,0.1667,7.1466,3.81,10.12,0.7043,0
0.1796,-0.8854,5.3631,0,0.3216,0.9401,0
-0.0187,0.0192,7.1593,1.062,3.1131,0.9375,0
-0.7024,-3.7912,4.82,0,0.3249,0.8435,0
0.14,-0.0324,4.3621,4.75,0.7048,0.5315,0
0.0757,-0.1317,6.6259,0,0.0642,0.8435,0
-0.0933,-0.0694,5.3434,2.22,0.4134,0.0522,0
-0.2812,-0.1807,4.9189,4.26,1.4493,2.0643,0
-0.9326,0.4416,4.6893,0,0.5286,2.8929,0
0.0588,0.021,8.3332,3.484,1.2646,0.6871,0
-0.3006,-1.5227,4.9229,0,0.257,0.5799,0
-0.6751,-0.6487,5.4918,0,0.1837,0.0938,0
0.0549,0.042,8.2459,0,4.6753,0.2889,0
-2.8046,-0.567,5.7474,0,0.6428,1.0643,0
-0.2733,0.0409,7.8642,0,4.1029,0.931,0
-0.2202,0.0972,7.1831,0,0.7734,1.6858,0
0.2295,0.7026,4.2434,6.462,3.9385,0.4356,0
0.0774,0.1014,7.8784,1.798,0.3541,0.9923,0
-0.1704,0.1389,5.5712,3.06,0.9901,0.3869,0
-0.3775,0.0614,4.5677,0,0.7683,0.6131,0
0.2875,0.3614,6.0288,1.92,1.8806,0.2144,0
-1.7607,-0.6446,5.3129,0,1.1259,1.6786,0
0.0503,-1.6041,5.4347,0,2.7962,0.5187,0
0.6103,0.6202,7.4807,9.096,3.6374,-1.2775,0
0.4444,0.9557,4.8863,8.334,3.833,1.7011,0
-0.1165,-0.1791,4.9423,0,0.5432,0.6392,0
-1.3767,0.4629,4.5352,0,2.7185,1.4311,0
-0.4876,-2.2958,5.8245,0,-1.0739,1.5088,0
0.1053,0.1829,7.764,9.166,1.0291,0.2009,0
-0.1673,-0.0477,6.6661,0,0.3396,0.1835,0
0.3818,0.3487,5.4806,9.748,2.3044,0.1769,0
0.0441,-0.0131,6.7173,2.868,1.1525,0.2386,0
0.1919,0.3604,5.8069,5.93,2.0929,1.1522,0
0.0866,0.0961,7.5394,0,1.0649,2.225,0
0.0686,0.0658,7.6452,0,2.5818,0.4618,0
-0.9029,-1.3769,5.5115,0,1.4446,-1.3679,0
0.1493,0.0515,6.8582,0,3.5714,0.0891,0
0.0169,-0.2747,5.5042,0,0.5181,0.7676,0
0.1027,0.0338,5.081,7.272,1.441,0.239,0
